thetas version times mems
50 0.2.4 832.42 12176
50 0.2.4 851 12096
50 0.2.4 826.47 12320
50 0.2.4 958.51 12704
50 0.2.4 797.05 12352
50 0.2.4 904.48 12352
50 0.2.4 905.96 12432
50 0.2.4 697.73 12336
50 0.2.4 769.03 12400
50 0.2.4 926.57 12880
50 0.2.4 830.1 12592
50 0.2.4 878.26 12480
50 0.2.4 812.11 12048
50 0.2.4 810.72 12272
50 0.2.4 808.81 12288
50 0.2.4 836.1 12240
50 0.2.4 821.63 12320
50 0.2.4 670.94 12336
50 0.2.4 800.48 12768
50 0.2.4 796.68 12304
50 0.2.4 880.34 12144
50 0.2.4 779.8 12384
50 0.2.4 896.65 12544
50 0.2.4 867.67 12512
50 0.2.4 902.53 12368
50 0.2.4 826.25 12160
50 0.2.4 834.79 12272
50 0.2.4 802.72 12352
50 0.2.4 887.74 12128
50 0.2.4 917.97 12608
50 0.2.4 843.68 12480
50 0.2.4 865.17 12848
50 0.2.4 806.68 12112
50 0.2.4 768.6 12144
50 0.2.4 808.91 12096
50 0.2.4 843.12 12272
50 0.2.4 802.93 12288
50 0.2.4 691.7 12464
50 0.2.4 859.36 12400
50 0.2.4 786.73 12336
50 0.2.4 728.24 12128
50 0.2.4 864.4 12512
50 0.2.4 853.4 12224
50 0.2.4 862.19 12224
50 0.2.4 923.1 12512
50 0.2.4 852.55 12368
50 0.2.4 926.39 12528
50 0.2.4 888 12352
50 0.2.4 775.23 12256
50 0.2.4 621.28 12384
50 0.2.4 879.4 12288
50 0.2.4 618.52 12256
50 0.2.4 781.92 12496
50 0.2.4 663.93 12096
50 0.2.4 756.14 12336
50 0.2.4 846.68 12176
50 0.2.4 883.8 12208
50 0.2.4 608.41 12240
50 0.2.4 846.85 12192
50 0.2.4 883.95 12624
50 0.2.4 877.36 12256
50 0.2.4 870.98 12576
50 0.2.4 984.16 12592
50 0.2.4 798.55 12560
50 0.2.4 885.93 12576
50 0.2.4 792.57 12272
50 0.2.4 852.93 12240
50 0.2.4 843.76 12560
50 0.2.4 930.85 12560
50 0.2.4 597.49 11920
50 0.2.4 881.09 12272
100 0.2.5 628.24 16224
100 0.2.5 668.95 15936
100 0.2.5 637.2 16560
100 0.2.5 666.38 15824
100 0.2.5 606.46 15792
100 0.2.5 654.2 15216
100 0.2.5 621.89 16080
100 0.2.5 655.07 15152
100 0.2.5 629.16 16304
100 0.2.5 672.33 16544
100 0.2.5 623.92 16128
100 0.2.5 657.7 15712
100 0.2.5 620.46 15680
100 0.2.5 660.69 15696
100 0.2.5 614.11 15952
100 0.2.5 655.9 16144
100 0.2.5 625.16 15872
100 0.2.5 684.24 16912
100 0.2.5 610.93 16240
100 0.2.5 663.24 16512
100 0.2.5 635.21 16896
100 0.2.5 662.97 15696
100 0.2.5 638.29 16960
100 0.2.5 667.63 16368
100 0.2.5 624.91 15744
100 0.2.5 656.37 15728
100 0.2.5 620.54 16032
100 0.2.5 654.49 16160
100 0.2.5 631.72 16176
100 0.2.5 647.66 15616
100 0.2.5 608.6 16464
100 0.2.5 671.04 16944
100 0.2.5 623.74 15792
100 0.2.5 654.75 15376
100 0.2.5 623.13 15856
100 0.2.5 658.29 15312
100 0.2.5 641.54 16208
100 0.2.5 669.01 16240
100 0.2.5 605.1 15680
100 0.2.5 618.68 16176
100 0.2.5 630.71 16176
100 0.2.5 623.17 15664
100 0.2.5 627.5 16384
100 0.2.5 659.02 16080
100 0.2.5 659.48 16032
100 0.2.5 619.43 16336
100 0.2.5 673.3 16208
100 0.2.5 655.14 16192
100 0.2.5 676.31 16752
100 0.2.5 658.24 16640
100 0.2.5 656.66 15728
100 0.2.5 622.43 16144
100 0.2.5 669.36 16464
100 0.2.5 622.05 16832
100 0.2.5 657.96 15728
100 0.2.5 626.83 16144
100 0.2.5 675.07 16544
100 0.2.5 607.21 16080
100 0.2.5 672.64 16352
100 0.2.5 608.37 15536
100 0.2.5 679.89 15696
100 0.2.5 614.15 15136
100 0.2.5 654.81 15664
100 0.2.5 603.11 15120
100 0.2.5 627.01 17024
100 0.2.5 660.99 16192
100 0.2.5 624.5 16016
100 0.2.5 666.44 16144
100 0.2.5 622.8 15808
100 0.2.5 664.41 16544
100 0.2.5 618.49 16064
100 0.2.5 629.74 16832
100 0.2.5 605.74 15984
